Symbol,Date,Open,High,Low,Close,Volume
AACG,22-Jan-2021,1.48,1.4899,1.3,1.35,80800
AACQ,22-Jan-2021,10.86,11.16,10.86,11.03,1083500
AACQU,22-Jan-2021,11.75,12,11.75,11.87,112200
AACQW,22-Jan-2021,2.57,2.67,2.5,2.56,415300
AAL,22-Jan-2021,15.57,15.84,15.46,15.82,39126500
AAME,22-Jan-2021,2.45,2.46,2.36,2.4,8400
AAOI,22-Jan-2021,10.35,10.54,10.155,10.47,489600
AAON,22-Jan-2021,71.26,73.13,70.93,72.74,162700
AAPL,22-Jan-2021,136.28,139.85,135.02,139.07,114459300
AAWW,22-Jan-2021,52.36,53.7,51.01,53.56,273200
AAXJ,22-Jan-2021,97.55,98.36,97.448,98.14,607500
AAXN,22-Jan-2021,161.08,171.73,160.85,170.26,654200
ABCB,22-Jan-2021,42.62,44.46,42.18,44.32,400600
ABCL,22-Jan-2021,50.04,51.3583,49.08,50.5,694500
ABCM,22-Jan-2021,23.17,23.9,22.49,23.59,80500
ABEO,22-Jan-2021,1.97,2.12,1.92,2.12,2337100
ABIO,22-Jan-2021,4.69,4.75,4.59,4.66,809700
ABMD,22-Jan-2021,347.91,349.4,345.015,347.9,174300
ABNB,22-Jan-2021,178.09,185.3066,175.19,181.87,7136800
ABST,22-Jan-2021,13.4,13.4,13.03,13.29,56700
ABTX,22-Jan-2021,35.38,36.63,34.475,36.47,98600
ABUS,22-Jan-2021,3.97,4.115,3.91,4.05,1671300
ACAC,22-Jan-2021,11.47,11.5999,11.11,11.15,42600
ACACU,22-Jan-2021,11.93,12.16,11.76,11.76,34600
ACACW,22-Jan-2021,2.35,2.35,2.12,2.24,84200
ACAD,22-Jan-2021,51.99,52.99,51.43,52.83,563000
ACBI,22-Jan-2021,16.75,17.54,16.725,17.52,87000
ACCD,22-Jan-2021,57.5,59.6865,56.46,59.09,1006600
ACER,22-Jan-2021,3.59,3.809,3.39,3.67,591300
ACET,22-Jan-2021,14.5,14.7,13.9,14.54,42300
ACEV,22-Jan-2021,11.3,11.4294,11.16,11.19,968300
ACEVU,22-Jan-2021,12.64,12.68,12.51,12.51,3800
ACEVW,22-Jan-2021,2.79,2.81,2.6,2.65,208200
ACGL,22-Jan-2021,33.79,33.93,32.95,33.31,4254800
ACGLO,22-Jan-2021,26.45,26.7,26.405,26.7,10400
ACGLP,22-Jan-2021,25.5,25.68,25.5,25.59,15100
ACHC,22-Jan-2021,51.51,52.355,51.13,52.01,463400
ACHV,22-Jan-2021,12.15,12.3099,10.91,11.78,1096600
ACIA,22-Jan-2021,114.48,114.59,114.32,114.48,597300
ACIU,22-Jan-2021,6,6.36,5.95,6.33,216900
ACIW,22-Jan-2021,40.37,40.88,39.8001,40.3,716600
ACKIU,22-Jan-2021,10.45,10.54,10.45,10.47,12000
ACLS,22-Jan-2021,38.96,40.62,38.93,40.09,385400
ACMR,22-Jan-2021,99.11,102.89,97.34,97.6,144700
ACNB,22-Jan-2021,26.15,27.17,26.05,27.17,22900
ACOR,22-Jan-2021,7.28,7.65,7.15,7.6,523900
ACRS,22-Jan-2021,17.54,18.59,17.16,18.22,1394700
ACRX,22-Jan-2021,1.9,1.92,1.81,1.91,6367000
ACST,22-Jan-2021,0.8,0.82,0.75,0.8,37039000
ACTC,22-Jan-2021,25.27,26.8999,25,25.65,3500800
ACTCU,22-Jan-2021,30.05,31.22,29.12,29.96,48000
ACTCW,22-Jan-2021,8.48,8.98,8.28,8.7,663100
ACTG,22-Jan-2021,6,6.05,5.65,5.74,1538900
ACWI,22-Jan-2021,93.52,94.015,93.51,93.77,4028400
ACWX,22-Jan-2021,55.17,55.48,55.17,55.39,696600
ADAP,22-Jan-2021,5.43,5.72,5.3,5.6,577900
ADBE,22-Jan-2021,472.5,476.35,470.61,472.44,2534200
ADERU,22-Jan-2021,10.74,11,10.65,10.7,453800
ADES,22-Jan-2021,5.28,5.4,5.25,5.38,71200
ADI,22-Jan-2021,157.73,158.9425,155.42,155.58,3147100
ADIL,22-Jan-2021,2.26,2.26,2.13,2.22,573900
ADILW,22-Jan-2021,0.525,2.45,0.4901,2.23,18100
ADMA,22-Jan-2021,2.39,2.43,2.33,2.43,2757500
ADMP,22-Jan-2021,2.33,2.34,1.71,1.79,207315000
ADMS,22-Jan-2021,4.55,4.77,4.46,4.72,163400
ADOC,22-Jan-2021,10.3,10.31,10.27,10.2947,7200
ADOCR,22-Jan-2021,0.49,0.4947,0.4899,0.4899,115100
ADOCW,22-Jan-2021,0.75,0.75,0.701,0.715,71000
ADP,22-Jan-2021,161.15,162.44,159.81,161.98,1894900
ADPT,22-Jan-2021,66.71,68.16,65.67,67.74,293200
ADRE,22-Jan-2021,61.49,61.9,61.38,61.78,23600
ADSK,22-Jan-2021,303,306.5,296.505,299.17,2590500
ADTN,22-Jan-2021,17.04,17.55,16.8,17.51,232400
ADTX,22-Jan-2021,3.5,3.61,3.19,3.6,5561600
ADUS,22-Jan-2021,124.23,127.99,121.45,127.8,74800
ADV,22-Jan-2021,11.39,11.48,11.17,11.22,112400
ADVM,22-Jan-2021,13.46,13.5,13.045,13.39,647300
ADVWW,22-Jan-2021,2.12,2.13,2.02,2.05,47700
ADXN,22-Jan-2021,12.39,12.45,11.52,12.12,299600
ADXS,22-Jan-2021,0.788,0.8,0.725,0.7454,11544800
AEACU,22-Jan-2021,10.5,10.5,10.4,10.43,481800
AEGN,22-Jan-2021,20.08,20.67,20.015,20.63,76500
AEHL,22-Jan-2021,2.8,2.85,2.72,2.8,259000
AEHR,22-Jan-2021,2.42,2.4399,2.33,2.4,67700
AEIS,22-Jan-2021,118.9,119.75,116.84,118.83,250000
AEMD,22-Jan-2021,2.63,2.74,2.55,2.64,435500
AEP,22-Jan-2021,80.81,82.46,80.77,82.08,3789400
AEPPL,22-Jan-2021,48.53,48.9,48.46,48.47,563000
AEPPZ,22-Jan-2021,49.52,50.08,49.4,50.03,651700
AERI,22-Jan-2021,16.29,17.06,15.93,16.81,878600
AESE,22-Jan-2021,1.69,1.89,1.64,1.75,5857800
AEY,22-Jan-2021,3.1,3.108,2.97,3.04,207000
