Symbol,Date,Open,High,Low,Close,Volume
A,22-Jan-2021,127.08,127.8,126.3,126.33,1438700
AA,22-Jan-2021,19.4,20.04,19.17,19.4,11183300
AAI-B,22-Jan-2021,22.55,22.55,21.47,21.47,2000
AAI-C,22-Jan-2021,21.5,21.5,21.49,21.5,1100
AAIC,22-Jan-2021,3.82,3.86,3.8,3.86,125500
AAN,22-Jan-2021,19.93,20.7,19.52,20.7,299200
AAP,22-Jan-2021,165.59,166.45,163.15,163.76,660100
AAT,22-Jan-2021,28.65,29.04,28.195,28.98,149500
AB,22-Jan-2021,35.42,36.14,35.4,36.03,288700
ABB,22-Jan-2021,30.2,30.49,30.04,30.43,1725800
ABBV,22-Jan-2021,110.65,111.6,109.48,110.86,5185400
ABC,22-Jan-2021,104.66,108.72,104.66,107.76,1595300
ABEV,22-Jan-2021,2.87,2.9,2.75,2.8,34246800
ABG,22-Jan-2021,164.68,166.88,160.33,162.45,171100
ABM,22-Jan-2021,38.56,39.73,38.31,39.69,307300
ABR,22-Jan-2021,14.55,14.69,14.41,14.63,1465600
ABR-A,22-Jan-2021,25.77,25.87,25.767,25.86,2300
ABR-B,22-Jan-2021,25.34,25.4199,25.34,25.4199,2500
ABR-C,22-Jan-2021,25.75,25.8641,25.7499,25.84,3000
ABT,22-Jan-2021,113,113.51,111.74,112.84,4163900
AC,22-Jan-2021,34.25,35.25,34.25,35.25,9300
ACA,22-Jan-2021,61.06,62.48,60.629,62.48,199900
ACB,22-Jan-2021,10.39,10.74,10.22,10.65,29047200
ACC,22-Jan-2021,42.12,42.18,41.21,41.7,1704000
ACCO,22-Jan-2021,8.5,8.8,8.39,8.8,380700
ACEL,22-Jan-2021,10.42,10.61,10.1175,10.36,159900
ACH,22-Jan-2021,8.37,8.5,8.3,8.5,103300
ACI,22-Jan-2021,17.3,17.54,17.28,17.5,2051300
ACI.U,22-Jan-2021,11.3,11.31,11.07,11.12,642500
ACI.W,22-Jan-2021,1.9,1.92,1.85,1.8585,317200
ACIC,22-Jan-2021,10.55,10.65,10.48,10.6,463400
ACM,22-Jan-2021,53.18,53.95,52.6152,53.68,468200
ACN,22-Jan-2021,255.37,256.37,253.57,254.77,2049600
ACN.U,22-Jan-2021,11.5,11.65,11.44,11.5,16300
ACN.W,22-Jan-2021,1.86,1.9556,1.85,1.87,33200
ACND,22-Jan-2021,10.51,10.69,10.51,10.55,69800
ACP,22-Jan-2021,11.03,11.04,10.88,10.93,110200
ACRE,22-Jan-2021,11.81,12.15,11.75,12.14,173800
ACV,22-Jan-2021,34.2,34.34,34,34.1,36400
ADC,22-Jan-2021,63.76,64.92,63.52,64.84,343500
ADCT,22-Jan-2021,31.56,33.4,31.28,33.36,184900
ADE.U,22-Jan-2021,10.42,10.46,10.31,10.35,194400
ADM,22-Jan-2021,52.38,53.1072,51.92,52.82,1818800
ADNT,22-Jan-2021,35.56,35.66,34.41,35.36,894200
ADS,22-Jan-2021,70.01,70.97,69.03,70.82,995500
ADT,22-Jan-2021,9,9.06,8.93,9,2807900
ADX,22-Jan-2021,17.6,17.777,17.6,17.7,155400
AEB,22-Jan-2021,25.19,25.29,25.15,25.27,13800
AEE,22-Jan-2021,71.66,73.1,71.01,72.88,2680400
AEFC,22-Jan-2021,26.07,26.21,26.07,26.17,43400
AEG,22-Jan-2021,4.23,4.255,4.205,4.23,1034600
AEL,22-Jan-2021,29.73,30.04,29.31,29.9,452700
AEL-A,22-Jan-2021,25.9,26.178,25.84,26.02,16100
AEL-B,22-Jan-2021,27.12,27.13,27,27.05,14700
AEM,22-Jan-2021,69.47,71.39,68.73,70.69,815700
AENZ,22-Jan-2021,2.31,2.42,2.3,2.39,359900
AEO,22-Jan-2021,24.18,24.8,23.5,24.28,12256300
AER,22-Jan-2021,41.5,41.75,40.08,41.21,1843600
AES,22-Jan-2021,27.14,27.28,26.93,27.1,5784700
AFB,22-Jan-2021,14.19,14.2,14.12,14.14,43800
AFC,22-Jan-2021,26.04,26.05,25.95,25.98,5500
AFG,22-Jan-2021,85.4,85.7,84.42,84.84,242500
AFGB,22-Jan-2021,27.39,27.54,27.39,27.5,9900
AFGC,22-Jan-2021,27.09,27.22,27.09,27.135,2700
AFGD,22-Jan-2021,27.7,27.77,27.7,27.745,4200
AFGE,22-Jan-2021,27.01,27.01,27.01,27.01,200
AFI,22-Jan-2021,4.01,4.24,3.91,4.21,89200
AFL,22-Jan-2021,45.86,46.61,45.77,46.43,3773800
AFT,22-Jan-2021,14.7,14.71,14.54,14.58,51800
AG,22-Jan-2021,13,14.055,12.77,14,18164000
AGCB,22-Jan-2021,14.03,15.04,13.93,13.93,652600
AGCO,22-Jan-2021,113.75,115.2,113.27,114.09,706300
AGD,22-Jan-2021,10.82,10.86,10.78,10.84,22800
AGI,22-Jan-2021,7.88,8.065,7.77,7.95,1792300
AGM,22-Jan-2021,78.95,79.79,78.5,79.5,30200
AGM-C,22-Jan-2021,27,27,27,27,100
AGM-D,22-Jan-2021,27.12,27.2,26.88,26.92,1800
AGM-E,22-Jan-2021,27.125,27.125,26.82,26.83,8700
AGM-F,22-Jan-2021,26.67,26.67,26.45,26.46,4600
AGO,22-Jan-2021,35.75,36.345,35.6,36.27,521200
AGO-B,22-Jan-2021,26.47,26.47,26.375,26.44,800
AGO-E,22-Jan-2021,26.01,26.2,26,26.2,8400
AGO-F,22-Jan-2021,25.37,25.554,25.37,25.53,8800
AGR,22-Jan-2021,45.68,46.575,45.25,46.39,364200
AGRO,22-Jan-2021,7.62,7.79,7.48,7.75,355000
AGS,22-Jan-2021,5.78,5.89,5.65,5.83,308700
AGX,22-Jan-2021,44.35,44.96,44,44.86,86300
AHC,22-Jan-2021,1.95,1.97,1.93,1.97,54600
AHH,22-Jan-2021,11.51,11.57,11.22,11.51,202100
AHH-A,22-Jan-2021,25.31,25.52,25.31,25.4,91000
AHL-C,22-Jan-2021,26.66,26.97,26.66,26.78,17000
AHL-D,22-Jan-2021,26.1,26.4259,26.1,26.3724,5100
AHL-E,22-Jan-2021,26.15,26.375,25.97,26.3,4900
AHT,22-Jan-2021,2.65,2.71,2.57,2.67,3469800
AHT-D,22-Jan-2021,14.81,14.82,14.53,14.53,4000
AHT-F,22-Jan-2021,14,14.22,13.975,14,141300
AHT-G,22-Jan-2021,14.1,14.2,14.02,14.05,4900
AHT-H,22-Jan-2021,13.95,14.12,13.91,14,4600
AHT-I,22-Jan-2021,14.19,14.399,13.72,14,135800
AI,22-Jan-2021,127,127.99,122.82,126.57,3622000
AIC,22-Jan-2021,24.73,24.75,24.73,24.75,2000
AIF,22-Jan-2021,14.45,14.47,14.38,14.38,53800
AIG,22-Jan-2021,40.53,40.93,39.955,40.08,4752300
AIG-A,22-Jan-2021,28.06,28.17,28,28.09,26200
AIN,22-Jan-2021,75.32,76.97,75.04,76.72,117600
AIO,22-Jan-2021,28.75,28.97,28.6,28.92,143300
AIR,22-Jan-2021,36.37,37.22,36.2109,37.16,257600
AIRC,22-Jan-2021,38.52,39.64,38.52,39.2,1433700
AIT,22-Jan-2021,81.7,84.49,81.7,84.32,149000
AIV,22-Jan-2021,4.75,4.82,4.66,4.81,4037100
AIW,22-Jan-2021,24.85,25.05,24.85,25.05,2000
AIZ,22-Jan-2021,136.88,137.47,134.72,134.9,305300
AIZN,22-Jan-2021,26.45,26.56,26.45,26.56,1200
AIZP,22-Jan-2021,128.78,129.77,127.81,127.81,21500
AJA.U,22-Jan-2021,13.35,13.54,13.21,13.49,218800
AJA.W,22-Jan-2021,3.7,3.7222,3.48,3.6,271100
AJAX,22-Jan-2021,12.53,12.7,12.32,12.62,1072800
AJG,22-Jan-2021,118.84,119.1876,117.49,117.84,715200
AJRD,22-Jan-2021,52.71,52.85,52.5,52.51,1402100
AJX,22-Jan-2021,10.42,10.74,10.395,10.74,54800
AJXA,22-Jan-2021,24.8,24.85,24.72,24.72,6100
AKO.A,22-Jan-2021,13.39,14.25,13.39,13.71,1600
AKO.B,22-Jan-2021,16.44,16.9072,15.5,16.24,8800
AKR,22-Jan-2021,14.68,15.09,14.38,15.09,770000
AL,22-Jan-2021,42.56,43.04,41.71,42.5,769500
AL-A,22-Jan-2021,25.6,25.7884,25.49,25.7191,9100
ALB,22-Jan-2021,173.24,174.87,171.17,173.71,2034500
ALC,22-Jan-2021,74.29,74.48,73.71,74.03,1107400
ALE,22-Jan-2021,65.49,66.41,64.64,65.71,383900
ALEX,22-Jan-2021,16.31,16.69,16.07,16.68,297000
ALG,22-Jan-2021,151.46,154.34,151.46,153.79,27400
